unfold,He watched her expression as she unfolded the letter .,C1 [ T ]
unfold,She unfolded a deckchair and sat down.,C1 [ T ]
unfold,"Like a lot of people , I've watched the events of the last few days unfold on TV.",C1 [ T ]
unfold,"As the plot unfolds, you gradually realize that all your initial assumptions were wrong .",C1 [ T ]
unfold,"Gradually, the author unfolds a fantastical tale .",C1 [ T ]
unfold,Events unfolded in a way that no one could have predicted .,C1 [ T ]
unfold,She took the old wedding dress out and carefully unfolded it.,C1 [ T ]
ashore,We swam ashore.,
ashore,A few pieces of wood had washed ashore.,
ashore,Strong winds blew the ship ashore.,
ashore,Julie jumped off the boat and swam ashore.,
fines,I felt terrible last night but I feel fine this morning .,A1 [ after verb ]
fines,"The apartments are very small , which is fine for one person .",A1 [ after verb ]
fines,"""Are you all right ?"" ""Everything's just fine, thanks .""",A1 [ after verb ]
fines,"""I'll come to your place at eight."" ""Fine. See you then.""",A1 [ after verb ]
fines,purveyors of fine wines and gourmet food,A1 [ after verb ]
fines,The world's finest collection of Impressionist paintings is housed in the Musée d'Orsay in Paris .,A1 [ after verb ]
fines,This building is the finest example of its type .,A1 [ after verb ]
fines,The baby's head was covered in fine blond hair .,A1 [ after verb ]
fines,The eruption had covered the town with a fine layer of ash .,A1 [ after verb ]
fines,Apply a fine line of highlighter along the middle of your top lip .,A1 [ after verb ]
fines,fine features She has inherited her mother's fine (= delicate and beautiful ) features .,A1 [ after verb ]
fines,"fine details I understood in general what she was talking about, but some of the finer details were beyond me.",A1 [ after verb ]
fines,finer points Younger readers can't be expected to understand the finer points of philosophy .,A1 [ after verb ]
fines,The forecast said it would be fine and dry today.,A1 [ after verb ]
fines,That's a fine (= very unpleasant ) thing to say about your father after all he's done for you!,A1 [ after verb ]
fines,He picked a fine time to leave us.,A1 [ after verb ]
fines,"The maximum penalty for the offence is a $1,000 fine.",A1 [ after verb ]
fines,"heavy fine If found guilty , he faces six months in jail and a heavy (= severe ) fine.",A1 [ after verb ]
fines,Drivers who exceed the speed limit can expect to be fined heavily .,A1 [ after verb ]
fines,[ + two objects ] They fined him £100 for using threatening behaviour .,A1 [ after verb ]
fines,be fined for You can be fined for failure to obey these traffic signals .,A1 [ after verb ]
fines,"suit someone fine ""Will a loan of £500 be sufficient ?"" ""That will suit me fine.""",A1 [ after verb ]
fines,It was working fine yesterday .,A1 [ after verb ]
fines,"I was sick last night , but I feel fine this morning .",A1 [ after verb ]
fines,"The apartments are very small , which is fine if you’re single .",A1 [ after verb ]
fines,The car was working fine yesterday .,A1 [ after verb ]
fines,"""Is something wrong ?"" ""No, everything’s just fine, thanks .""",A1 [ after verb ]
fines,"Although still young , he is already a fine musician .",A1 [ after verb ]
fines,We had lunch in one of the city’s finest restaurants .,A1 [ after verb ]
fines,That’s a fine thing to say after all I’ve done for you.,A1 [ after verb ]
fines,fine blond hair,A1 [ after verb ]
fines,The paint comes out of the can in a fine spray .,A1 [ after verb ]
fines,She has her mother’s fine (= delicate and beautiful ) features .,A1 [ after verb ]
fines,"If found guilty , he faces six months in jail and a heavy fine.",A1 [ after verb ]
fines,They fined him $125 for driving through a red light .,A1 [ after verb ]
fines,"Copying cash is a federal offense and carries prison terms of up to 15 years and up to $5,000 in fines .",A1 [ after verb ]
fines,a heavy/stiff fine The new state law carries with it heavy fines for teens caught with cigarettes .,A1 [ after verb ]
fines,Bank officers said the decision to pay the fine would not affect its plans to pay off the loans within two years .,A1 [ after verb ]
fines,be subject to/face a fine Employers can face fines and other sanctions for hiring any of the 8 to 10 million illegal immigrants who are estimated to live in this country .,A1 [ after verb ]
fines,get/incur a fine If you go to court you could get a fine of up to a thousand dollars .,A1 [ after verb ]
fines,hand out/impose a fine There has been a proposal to impose fines for late completion of work .,A1 [ after verb ]
fines,Police can hand out on-the-spot fines to drunks .,A1 [ after verb ]
fines,The Financial Services Authority fined the bank a record £1m.,A1 [ after verb ]
